Time_ms, Audio_In, Audio_Out, Filter_State
0.001,         0,         0,          0
0.003,     85473,         0,          0
0.004,    170878,       667,          0
0.006,    256144,      2002,          0
0.007,    341202,      4003,          0
0.008,    425982,      6669,          0
0.010,    510417,      9997,          0
0.011,    594438,     13985,          0
0.013,    677976,     18629,          0
0.014,    760963,     23925,          0
0.015,    843333,     29870,          0
0.017,    925018,     36459,          0
0.018,   1005952,     43686,          0
0.020,   1086069,     51545,          0
0.021,   1165304,     60030,          0
0.022,   1243593,     69133,          0
0.024,   1320872,     78849,          0
0.025,   1397079,     89168,          0
0.027,   1472152,    100083,          0
0.028,   1546030,    111584,          0
0.029,   1618652,    123663,          0
0.031,   1689960,    136308,          0
0.032,   1759896,    149511,          0
0.033,   1828402,    163260,          0
0.035,   1895425,    177545,          0
0.036,   1960908,    192353,          0
0.038,   2024800,    207672,          0
0.039,   2087047,    223491,          0
0.040,   2147600,    239796,          0
0.042,   2206409,    256574,          0
0.043,   2263427,    273812,          0
0.045,   2318607,    291495,          0
0.046,   2371905,    309609,          0
0.047,   2423276,    328139,          0
0.049,   2472681,    347071,          0
0.050,   2520077,    366389,          0
0.052,   2565428,    386077,          0
0.053,   2608695,    406120,          0
0.054,   2649845,    426500,          0
0.056,   2688843,    447202,          0
0.057,   2725658,    468209,          0
0.058,   2760260,    489503,          0
0.060,   2792621,    511067,          0
0.061,   2822714,    532885,          0
0.063,   2850516,    554937,          0
0.064,   2876003,    577207,          0
0.065,   2899155,    599676,          0
0.067,   2919953,    622325,          0
0.068,   2938381,    645137,          0
0.070,   2954423,    668093,          0
0.071,   2968066,    691175,          0
0.072,   2979299,    714363,          0
0.074,   2988113,    737639,          0
0.075,   2994501,    760983,          0
0.077,   2998458,    784378,          0
0.078,   2999980,    807803,          0
0.079,   2999067,    831241,          0
0.081,   2995719,    854671,          0
0.082,   2989938,    878075,          0
0.084,   2981730,    901434,          0
0.085,   2971100,    924729,          0
0.086,   2958059,    947940,          0
0.088,   2942616,    971050,          0
0.089,   2924783,    994039,          0
0.090,   2904576,   1016889,          0
0.092,   2882011,   1039581,          0
0.093,   2857105,   1062097,          0
0.095,   2829880,   1084418,          0
0.096,   2800358,   1106526,          0
0.097,   2768561,   1128404,          0
0.099,   2734517,   1150034,          0
0.100,   2698253,   1171397,          0
0.102,   2659797,   1192477,          0
0.103,   2619183,   1213257,          0
0.104,   2576441,   1233719,          0
0.106,   2531608,   1253848,          0
0.107,   2484720,   1273626,          0
0.109,   2435814,   1293038,          0
0.110,   2384930,   1312067,          0
0.111,   2332110,   1330700,          0
0.113,   2277396,   1348919,          0
0.114,   2220833,   1366711,          0
0.115,   2162468,   1384062,          0
0.117,   2102346,   1400956,          0
0.118,   2040518,   1417381,          0
0.120,   1977033,   1433322,          0
0.121,   1911942,   1448768,          0
0.122,   1845299,   1463705,          0
0.124,   1777158,   1478121,          0
0.125,   1707575,   1492005,          0
0.127,   1636604,   1505346,          0
0.128,   1564305,   1518132,          0
0.129,   1490736,   1530353,          0
0.131,   1415956,   1541999,          0
0.132,   1340027,   1553061,          0
0.134,   1263010,   1563530,          0
0.135,   1184967,   1573397,          0
0.136,   1105963,   1582655,          0
0.138,   1026060,   1591295,          0
0.139,    945324,   1599311,          0
0.140,    863821,   1606697,          0
0.142,    781616,   1613445,          0
0.143,    698777,   1619552,          0
0.145,    615370,   1625011,          0
0.146,    531464,   1629819,          0
0.147,    447126,   1633971,          0
0.149,    362426,   1637464,          0
0.150,    277430,   1640295,          0
0.152,    192210,   1642463,          0
0.153,    106834,   1643964,          0
0.154,     21371,   1644799,          0
0.156,    -64109,   1644966,          0
0.157,   -149537,   1644465,          0
0.159,   -234844,   1643297,          0
0.160,   -319960,   1641462,          0
0.161,   -404817,   1638962,          0
0.163,   -489345,   1635800,          0
0.164,   -573475,   1631977,          0
0.166,   -657140,   1627496,          0
0.167,   -740272,   1622363,          0
0.168,   -822802,   1616579,    2000000
0.170,   -904664,  -1610152,    2000000
0.171,   -985792,  -1603084,    2000000
0.172,  -1066119,  -1595383,    2000000
0.174,  -1145581,  -1587054,    2000000
0.175,  -1224113,  -1578104,    2000000
0.177,  -1301651,  -1568541,    2000000
0.178,  -1378132,  -1558371,    2000000
0.179,  -1453494,  -1547605,    2000000
0.181,  -1527676,  -1536249,    2000000
0.182,  -1600617,  -1523647,    2000000
0.184,  -1672259,  -1509807,    2000000
0.185,  -1742543,  -1494741,    2000000
0.186,  -1811413,  -1478462,    2000000
0.188,  -1878811,  -1460982,    2000000
0.189,  -1944685,  -1442316,    2000000
0.191,  -2008979,  -1422480,    2000000
0.192,  -2071642,  -1401488,    2000000
0.193,  -2132623,  -1379358,    2000000
0.195,  -2191873,  -1356108,    2000000
0.196,  -2249343,  -1331758,    2000000
0.197,  -2304987,  -1306326,    2000000
0.199,  -2358759,  -1279833,    2000000
0.200,  -2410616,  -1252301,    2000000
0.202,  -2460516,  -1223753,    2000000
0.203,  -2508418,  -1194211,    2000000
0.204,  -2554284,  -1163699,    2000000
0.206,  -2598076,  -1132242,    2000000
0.207,  -2639758,  -1099867,    2000000
0.209,  -2679297,  -1066598,    2000000
0.210,  -2716661,  -1032463,    2000000
0.211,  -2751818,   -997490,    2000000
0.213,  -2784742,   -961707,    2000000
0.214,  -2815405,   -925143,    2000000
0.216,  -2843782,   -887828,    2000000
0.217,  -2869849,   -849792,    2000000
0.218,  -2893587,   -811067,    2000000
0.220,  -2914976,   -771682,    2000000
0.221,  -2933997,   -731671,    2000000
0.223,  -2950637,   -691067,    2000000
0.224,  -2964881,   -649901,    2000000
0.225,  -2976717,   -608207,    2000000
0.227,  -2986137,   -566020,    2000000
0.228,  -2993132,   -523373,    2000000
0.229,  -2997697,   -480301,    2000000
0.231,  -2999828,   -436839,    2000000
0.232,  -2999524,   -393022,    2000000
0.234,  -2996784,   -348886,    2000000
0.235,  -2991611,   -304467,    2000000
0.236,  -2984009,   -259801,    2000000
0.238,  -2973984,   -214924,    2000000
0.239,  -2961545,   -169873,    2000000
0.241,  -2946701,   -124683,    2000000
0.242,  -2929465,    -79392,    2000000
0.243,  -2909850,    -34037,    2000000
0.245,  -2887872,     11346,    2000000
0.246,  -2863550,     56719,    2000000
0.248,  -2836903,    102047,    2000000
0.249,  -2807952,    147292,    2000000
0.250,  -2776722,    192417,    2000000
0.252,  -2743237,    237386,    2000000
0.253,  -2707525,    282162,    2000000
0.254,  -2669615,    326709,    2000000
0.256,  -2629537,    370991,    2000000
0.257,  -2587324,    414971,    2000000
0.259,  -2543011,    458615,    2000000
