Time_ms, Audio_In, Audio_Out, Angle_Switch
0.001,         0,         0,          0
0.003,     28494,         0,          0
0.004,     56982,       222,          0
0.006,     85459,       667,          0
0.007,    113918,      1335,          0
0.008,    142355,      2225,          0
0.010,    170762,      3337,          0
0.011,    199135,      4671,          0
0.013,    227468,      6227,          0
0.014,    255754,      8004,          0
0.015,    283988,     10002,          0
0.017,    312165,     12221,          0
0.018,    340278,     14660,          0
0.020,    368322,     17318,          0
0.021,    396292,     20195,          0
0.022,    424181,     23291,          0
0.024,    451984,     26605,          0
0.025,    479695,     30137,          0
0.027,    507309,     33884,          0
0.028,    534819,     37847,          0
0.029,    562222,     42026,          0
0.031,    589510,     46418,          0
0.032,    616678,     51024,          0
0.033,    643722,     55841,          0
0.035,    670634,     60871,          0
0.036,    697411,     66110,          0
0.038,    724046,     71558,          0
0.039,    750534,     77215,          0
0.040,    776869,     83079,          0
0.042,    803047,     89148,          0
0.043,    829062,     95422,          0
0.045,    854908,    101899,          0
0.046,    880581,    108578,          0
0.047,    906076,    115457,          0
0.049,    931386,    122536,          0
0.050,    956507,    129812,          0
0.052,    981435,    137285,          0
0.053,   1006163,    144953,          0
0.054,   1030686,    152813,          0
0.056,   1055001,    160865,          0
0.057,   1079101,    169108,          0
0.058,   1102982,    177538,          0
0.060,   1126640,    186155,          0
0.061,   1150068,    194957,          0
0.063,   1173264,    203942,          0
0.064,   1196221,    213108,          0
0.065,   1218935,    222454,          0
0.067,   1241402,    231976,          0
0.068,   1263616,    241675,          0
0.070,   1285575,    251547,          0
0.071,   1307272,    261590,    1000000
0.072,   1328704,   -271805,    1000000
0.074,   1349866,   -282185,    1000000
0.075,   1370755,   -292731,    1000000
0.077,   1391365,   -303440,    1000000
0.078,   1411692,   -314310,    1000000
0.079,   1431733,   -325339,    1000000
0.081,   1451484,   -336524,    1000000
0.082,   1470939,   -347864,    1000000
0.084,   1490097,   -359356,    1000000
0.085,   1508951,   -370997,    1000000
0.086,   1527500,   -382786,    1000000
0.088,   1545738,   -394719,    1000000
0.089,   1563662,   -406795,    1000000
0.090,   1581270,   -419011,    1000000
0.092,   1598556,   -431365,    1000000
0.093,   1615517,   -443854,    1000000
0.095,   1632151,   -456475,    1000000
0.096,   1648454,   -469226,    1000000
0.097,   1664421,   -482105,    1000000
0.099,   1680051,   -495108,    1000000
0.100,   1695340,   -508233,    1000000
0.102,   1710285,   -521478,    1000000
0.103,   1724883,   -534840,    1000000
0.104,   1739130,   -548316,    1000000
0.106,   1753025,   -561903,    1000000
0.107,   1766563,   -575598,    1000000
0.109,   1779743,   -589399,    1000000
0.110,   1792562,   -603304,    1000000
0.111,   1805017,   -617308,    1000000
0.113,   1817105,   -631410,    1000000
0.114,   1828825,   -645606,    1000000
0.115,   1840173,   -659893,    1000000
0.117,   1851148,   -674270,    1000000
0.118,   1861747,   -688732,    1000000
0.120,   1871968,   -703277,    1000000
0.121,   1881809,   -717902,    1000000
0.122,   1891268,   -732603,    1000000
0.124,   1900344,   -747379,    1000000
0.125,   1909033,   -762225,    1000000
0.127,   1917335,   -777139,    1000000
0.128,   1925248,   -792119,    1000000
0.129,   1932770,   -807160,    1000000
0.131,   1939900,   -822259,    1000000
0.132,   1946635,   -837415,    1000000
0.134,   1952976,   -852623,    1000000
0.135,   1958920,   -867881,    1000000
0.136,   1964467,   -883185,    1000000
0.138,   1969615,   -898532,    1000000
0.139,   1974363,   -913920,    1000000
